"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.593284998E-1,-2.387984161E0,1.344743591E1,1.961221619E0,1.379791257E1
6.693055001E-1,-2.481090546E0,1.476903763E1,1.969005432E0,1.510487554E1
6.792834997E-1,-2.058818665E0,1.522618698E1,1.669178925E0,1.545515003E1
6.892605000E-1,-1.372795258E0,1.574919937E1,1.464554443E0,1.587661070E1
6.992385001E-1,-8.223898315E-1,1.413360901E1,1.407073975E0,1.422726558E1
7.092154999E-1,-4.860392761E-1,1.018841309E1,1.431173859E0,1.029991524E1
7.191935000E-1,-9.331594849E-1,9.571545868E0,1.811083832E0,9.785974738E0
7.291715001E-1,-1.586850128E0,1.016221756E1,2.349214783E0,1.055024024E1
7.391484999E-1,-1.931882629E0,1.033959869E1,3.035537567E0,1.094778334E1
7.491265000E-1,-2.118993530E0,1.019425095E1,3.513793030E0,1.098906854E1
7.591034998E-1,-2.213147736E0,9.735455017E0,3.782783661E0,1.067644883E1
7.690814999E-1,-2.243085480E0,9.341174927E0,3.947291565E0,1.038605277E1
7.790584997E-1,-2.140399017E0,9.251212006E0,4.203858032E0,1.038453918E1
7.890364998E-1,-1.938618622E0,9.212592316E0,4.354295197E0,1.037255928E1
7.990135001E-1,-1.727856903E0,9.164691925E0,4.444856873E0,1.033120613E1
8.089914997E-1,-1.525178375E0,8.972192230E0,4.655468903E0,1.022251403E1
8.189685000E-1,-1.336720276E0,8.706494751E0,5.103038177E0,1.017992488E1
8.289465001E-1,-9.834548950E-1,8.329428864E0,5.522016907E0,1.004187430E1
8.389244997E-1,-4.784051514E-1,8.042625275E0,5.928721161E0,1.000312088E1
8.489015000E-1,-2.829116821E-2,7.887248383E0,6.345454559E0,1.012295812E1
8.588795001E-1,2.324665833E-1,7.751031647E0,6.046376495E0,9.833168412E0
8.688564999E-1,3.359014893E-1,7.784561920E0,5.076543274E0,9.299651913E0
8.788345000E-1,2.800675964E-1,8.155789948E0,4.099674683E0,9.132506777E0
8.888114998E-1,-1.194515991E-1,8.708740082E0,2.911445618E0,9.183296689E0
8.987894999E-1,-7.294331360E-1,9.388177185E0,1.320404205E0,9.508596680E0
9.087664997E-1,-9.225315857E-1,1.008887009E1,7.023394775E-1,1.015527670E1
9.187444998E-1,-7.777825928E-1,1.038420593E1,9.624984741E-1,1.045768052E1
9.287215001E-1,-1.194515991E-1,1.061173279E1,1.525328064E0,1.072146292E1
9.386994997E-1,8.689430237E-1,1.064077240E1,2.536475372E0,1.097336806E1
