"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.459362498E-2,-5.780137856E-1,5.181404901E-1,-8.973563987E-1,1.186515069E0
3.456162498E-2,-6.118183666E-1,5.320589098E-1,-5.087001604E-1,9.571751409E-1
4.453062499E-2,-6.850907761E-1,4.404362565E-1,-1.269711185E-1,8.242906844E-1
5.449962500E-2,-6.744149297E-1,3.651352286E-2,1.175518388E-1,6.855561025E-1
6.446762499E-2,-7.376112711E-1,-1.082310846E-1,5.397219783E-1,9.203717557E-1
7.443662500E-2,-8.113719231E-1,-1.471501520E-1,9.666967750E-1,1.270621981E0
8.440562501E-2,-7.185574611E-1,-6.537157863E-2,1.015874782E0,1.246033644E0
9.437462501E-2,-3.893934991E-1,1.862922907E-3,9.620622718E-1,1.037879850E0
1.043426250E-1,-2.023315687E-2,8.043634504E-2,6.538432556E-1,6.590829911E-1
1.143116250E-1,6.749499500E-2,2.487697899E-1,6.299205422E-2,2.653487924E-1
1.242806250E-1,-9.451951012E-3,3.447220141E-1,-5.711495930E-1,6.671839806E-1
1.342486250E-1,-2.204213921E-1,3.419863942E-1,-1.211141379E0,1.277655558E0
1.442176249E-1,-3.910537429E-1,2.754336780E-1,-1.795762957E0,1.858373305E0
1.541866249E-1,-4.743714496E-1,2.554639748E-1,-2.075090296E0,2.143895952E0
1.641546249E-1,-4.153652962E-1,4.636135961E-1,-2.011067378E0,2.105197828E0
1.741236249E-1,-2.772884879E-1,6.577328235E-1,-1.681188521E0,1.826443598E0
1.840926249E-1,3.072203849E-2,6.117554359E-1,-1.014385496E0,1.184975313E0
1.940606249E-1,4.097615805E-1,2.349997433E-1,-8.681419551E-2,4.802771457E-1
2.040296249E-1,7.739108589E-1,-1.449935527E-1,7.719880021E-1,1.102690629E0
2.139986249E-1,1.073065668E0,-7.579482526E-2,1.629829502E0,1.952833579E0
2.239666249E-1,1.098344496E0,-3.436035879E-1,2.509509768E0,2.760808457E0
2.339356249E-1,8.396192372E-1,-1.055710547E0,2.507610592E0,2.847384081E0
2.439046249E-1,4.426100686E-1,-1.124545431E0,2.542583959E0,2.815180152E0
2.538726249E-1,-1.371421308E-1,-5.555781654E-1,2.784391469E0,2.842588770E0
2.638416250E-1,-3.553154878E-1,-3.010297184E-1,2.255876264E0,2.303442143E0
2.738106250E-1,-1.698205380E-1,-3.373985957E-1,1.339618156E0,1.391852590E0
