"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.382184167E-1,2.673608952E1,-1.121828318E1,2.010459151E1,3.528261554E1
6.481864167E-1,2.659099671E1,-7.912352818E0,2.305459834E1,3.607216292E1
6.581534166E-1,2.575508110E1,-5.305221446E0,2.467545588E1,3.606033416E1
6.681204167E-1,2.480355901E1,-3.454915661E0,2.583117442E1,3.597780641E1
6.780874167E-1,2.303385476E1,-2.164382834E0,2.597798397E1,3.478647251E1
6.880544167E-1,2.094890840E1,-6.144435471E-1,2.630880072E1,3.363610113E1
6.980214167E-1,2.000354928E1,1.156345221E0,2.691997743E1,3.355837158E1
7.079894167E-1,1.985282911E1,3.171299974E0,2.790542740E1,3.439338374E1
7.179564167E-1,1.971671529E1,4.828506140E0,2.892103028E1,3.533396844E1
7.279234166E-1,1.947197657E1,6.123997698E0,2.934005111E1,3.574212946E1
7.378904167E-1,2.002497816E1,7.278850272E0,2.932068981E1,3.624478256E1
7.478574167E-1,2.060397413E1,8.113951950E0,2.891195073E1,3.641786458E1
7.578244167E-1,2.035786716E1,8.828502168E0,2.759167048E1,3.540742134E1
7.677924167E-1,1.999907265E1,9.393719761E0,2.650874042E1,3.450968265E1
7.777594167E-1,1.992169528E1,9.335808352E0,2.585262669E1,3.394686387E1
7.877264167E-1,1.949589636E1,8.622738065E0,2.519673047E1,3.300479985E1
7.976934167E-1,1.896297177E1,7.437757713E0,2.400663732E1,3.148385575E1
8.076604167E-1,1.818126218E1,6.033957009E0,2.235032694E1,2.943644079E1
8.176274167E-1,1.719376569E1,4.377682890E0,2.069738691E1,2.726117222E1
8.275954167E-1,1.608611009E1,2.764536663E0,1.932400693E1,2.529471970E1
8.375624167E-1,1.543637567E1,1.368027438E0,1.846920715E1,2.410943396E1
8.475294167E-1,1.508447620E1,1.446636236E-1,1.800100890E1,2.348613785E1
8.574964167E-1,1.500024355E1,-8.445601344E-1,1.783991109E1,2.332344349E1
8.674634167E-1,1.507708649E1,-2.042576269E0,1.763078893E1,2.328809509E1
8.774304167E-1,1.528210975E1,-3.421072854E0,1.727963790E1,2.332021664E1
8.873984167E-1,1.577331563E1,-4.711841324E0,1.658428000E1,2.336744055E1
8.973654167E-1,1.580722714E1,-6.266143511E0,1.540135787E1,2.294198789E1
9.073324167E-1,1.606508467E1,-7.513514239E0,1.461369114E1,2.298042233E1
9.172994167E-1,1.711779165E1,-8.330443355E0,1.417034590E1,2.373212549E1
9.272664167E-1,1.888236322E1,-9.766772704E0,1.355651923E1,2.521334376E1
9.372334167E-1,2.079266845E1,-1.091883440E1,1.265253618E1,2.667663168E1
9.472014167E-1,2.257895541E1,-1.211745865E1,1.138570066E1,2.804061717E1
9.571684167E-1,2.387928496E1,-1.335916635E1,1.027445136E1,2.922758844E1
9.671354167E-1,2.390198619E1,-1.422051968E1,9.351394106E0,2.934240439E1
9.771024167E-1,2.430062362E1,-1.602324901E1,8.024842138E0,3.019375612E1
9.870694167E-1,2.470954280E1,-1.783835807E1,6.369047490E0,3.113411778E1
9.970364167E-1,2.487974823E1,-1.902312090E1,5.407967550E0,3.178249698E1
1.007004417E0,2.608608963E1,-2.068488322E1,4.837012085E0,3.364142019E1
1.016971417E0,2.797197807E1,-2.214325833E1,5.087956454E0,3.603668613E1
1.026938417E0,2.939177792E1,-2.438295242E1,5.474578446E0,3.857947624E1
1.036905417E0,3.028706850E1,-2.682129748E1,5.835331187E0,4.087468173E1
1.046872417E0,3.134511983E1,-2.927419743E1,6.451587371E0,4.337185899E1
1.056839417E0,3.267230681E1,-3.181621362E1,7.746226405E0,4.625748702E1
1.066807417E0,3.390934141E1,-3.445568185E1,8.570520090E0,4.909675408E1
1.076774417E0,3.506423667E1,-3.701239561E1,8.951101323E0,5.176427665E1
1.086741417E0,3.615839339E1,-3.904805462E1,9.226896944E0,5.401218020E1
1.096708417E0,3.648038552E1,-4.113309922E1,9.610514052E0,5.581319163E1
1.106675417E0,3.608837181E1,-4.297647839E1,1.002288777E1,5.700707460E1
1.116642417E0,3.540794068E1,-4.386180765E1,1.020531037E1,5.728637529E1
1.126610417E0,3.391618032E1,-4.488817175E1,9.839528439E0,5.711454780E1
1.136577417E0,3.154033030E1,-4.515911302E1,8.957307558E0,5.580655232E1
1.146544417E0,2.881849819E1,-4.464284597E1,8.034837953E0,5.374056341E1
1.156511417E0,2.667512411E1,-4.355039898E1,7.261770555E0,5.158423023E1
1.166478417E0,2.534980356E1,-4.240956511E1,6.734582083E0,4.986520178E1
1.176445417E0,2.413489716E1,-4.144277244E1,6.500753099E0,4.839686394E1
1.186413417E0,2.249567937E1,-3.977988979E1,6.024825997E0,4.609548514E1
1.196380417E0,2.078288022E1,-3.853928605E1,5.521157366E0,4.413261671E1
1.206347417E0,1.901823263E1,-3.740870351E1,5.807080364E0,4.236539217E1
1.216314417E0,1.763107661E1,-3.563215801E1,6.598249573E0,4.029940998E1
1.226281417E0,1.651291005E1,-3.403995418E1,7.302936122E0,3.853216260E1
1.236248417E0,1.480229893E1,-3.290291164E1,7.770529772E0,3.690651407E1
1.246216417E0,1.340872033E1,-3.143326076E1,7.351130043E0,3.495543986E1
1.256183417E0,1.218952207E1,-3.028905889E1,5.959379282E0,3.318924130E1
1.266150417E0,9.936313891E0,-3.014223998E1,4.146714071E0,3.200750229E1
1.276117417E0,7.310966688E0,-2.887295448E1,3.162627969E0,2.995162683E1
1.286084417E0,4.773207268E0,-2.811290298E1,3.010877520E0,2.867375464E1
1.296052083E0,2.287924268E0,-2.758443631E1,3.099030143E0,2.785210426E1
1.306020083E0,-2.334933543E-1,-2.649087132E1,2.948495915E0,2.665547619E1
1.315987083E0,-2.550071318E0,-2.543912095E1,2.554982979E0,2.569396187E1
1.325954083E0,-3.406058081E0,-2.415277093E1,2.367495664E0,2.450637898E1
1.335921083E0,-3.219149494E0,-2.300709322E1,1.770030823E0,2.329854655E1
1.345888083E0,-4.603669004E0,-2.238689777E1,7.949805696E-1,2.286917039E1
1.355855083E0,-6.551249653E0,-2.168121602E1,3.173916896E-1,2.265159460E1
1.365823083E0,-7.346276854E0,-2.069704309E1,7.724208422E-1,2.197571410E1
1.375790083E0,-6.725218352E0,-1.948056963E1,1.735996227E0,2.068175133E1
1.385757083E0,-6.650998474E0,-1.871018026E1,1.864858774E0,1.994453119E1
1.395724083E0,-7.249970289E0,-1.821138470E1,1.560271756E0,1.966344451E1
1.405691083E0,-7.551005416E0,-1.761723274E1,1.084140733E0,1.919791482E1
1.415658083E0,-8.271958920E0,-1.685721399E1,4.718808281E-1,1.878333409E1
1.425626083E0,-8.668346347E0,-1.633440041E1,-7.220665213E-1,1.850605969E1
1.435593083E0,-1.018469777E1,-1.649932697E1,-1.709655398E0,1.946480878E1
1.445560083E0,-1.209798742E1,-1.681079763E1,-4.273729920E-1,2.071586021E1
1.455527083E0,-1.274014501E1,-1.670871109E1,2.370181436E0,2.114497768E1
1.465494083E0,-1.363588583E1,-1.675923454E1,4.789519537E0,2.213026936E1
1.475461083E0,-1.486322224E1,-1.631010289E1,6.482895702E0,2.299919060E1
1.485429083E0,-1.587778549E1,-1.587818661E1,6.976189034E0,2.351357258E1
1.495396083E0,-1.695668916E1,-1.541041170E1,6.880833811E0,2.392396226E1
1.505363083E0,-1.734449522E1,-1.479549043E1,6.637037662E0,2.374422710E1
1.515330083E0,-1.701520459E1,-1.424167725E1,6.146276175E0,2.302431908E1
1.525297083E0,-1.650812119E1,-1.365579793E1,5.710665625E0,2.217229316E1
1.535264083E0,-1.553463579E1,-1.305453694E1,5.105426180E0,2.092393893E1
1.545232083E0,-1.422266210E1,-1.263144527E1,4.051806159E0,1.944877015E1
1.555199083E0,-1.330526437E1,-1.224897071E1,2.444186721E0,1.824942170E1
1.565166083E0,-1.264122182E1,-1.195216488E1,1.082790903E0,1.743063884E1
1.575133083E0,-1.179272651E1,-1.189293492E1,3.454394674E-1,1.675200370E1
1.585100083E0,-1.098409868E1,-1.243445960E1,3.955004042E-1,1.659586183E1
1.595067083E0,-1.066893727E1,-1.338041747E1,9.930957842E-1,1.714199619E1
1.605035083E0,-1.064902984E1,-1.429758365E1,1.664381869E0,1.790510826E1
1.615002083E0,-1.016701578E1,-1.523375328E1,2.085508865E0,1.843325246E1
1.624969083E0,-9.731328637E0,-1.600303753E1,2.720499820E0,1.892609538E1
1.634936083E0,-8.983449875E0,-1.648912475E1,3.378744568E0,1.907903356E1
1.644903083E0,-7.319867905E0,-1.671221006E1,3.611676589E0,1.859899565E1
1.654870083E0,-6.115757217E0,-1.713700209E1,3.154616991E0,1.846702292E1
1.664838083E0,-5.751983221E0,-1.771765166E1,2.410407503E0,1.878325200E1
1.674805083E0,-5.204876209E0,-1.845682742E1,1.423153964E0,1.922941970E1
1.684772083E0,-4.161786146E0,-1.950024668E1,8.173132789E-1,1.995615408E1
1.694739083E0,-3.354146501E0,-2.034192297E1,9.188209426E-1,2.063706280E1
1.704706083E0,-2.911523386E0,-2.101749390E1,1.319866408E0,2.125921131E1
1.714673083E0,-2.384872858E0,-2.196013523E1,1.654494081E0,2.215112883E1
1.724641083E0,-1.315430564E0,-2.287591679E1,1.860828434E0,2.298914111E1
1.734608083E0,-3.494342852E-1,-2.369429777E1,2.019043565E0,2.378273298E1
1.744575083E0,1.870945287E-1,-2.474570900E1,1.858655609E0,2.481611813E1
1.754542083E0,5.851606911E-1,-2.606796327E1,1.196684212E0,2.610197646E1
1.764509083E0,1.144124687E0,-2.766325911E1,5.060029860E-1,2.769153237E1
1.774476083E0,2.476274194E0,-2.937586648E1,-3.831492575E-1,2.948254176E1
1.784444083E0,4.569549916E0,-3.079930330E1,-1.111915957E0,3.115628712E1
1.794411083E0,7.029552478E0,-3.204955729E1,-1.239698596E0,3.283482272E1
1.804378083E0,9.636142983E0,-3.344661849E1,-8.557528015E-1,3.481757966E1
1.814345083E0,1.241923111E1,-3.548552622E1,-3.259121060E-1,3.759742133E1
1.824312083E0,1.474421854E1,-3.770700039E1,3.949232841E-1,4.048908276E1
1.834279083E0,1.663650850E1,-4.001367083E1,1.476642977E0,4.335951733E1
1.844247083E0,1.798437006E1,-4.172835045E1,2.291638420E0,4.549664168E1
1.854214083E0,1.957666044E1,-4.290911379E1,2.670853744E0,4.723950825E1
1.864181083E0,2.156583876E1,-4.357402641E1,2.565242504E0,4.868635998E1
1.874148083E0,2.351713181E1,-4.362243668E1,2.218868651E0,4.960741727E1
1.884115083E0,2.504851759E1,-4.343168647E1,2.434924439E0,5.019629946E1
1.894082083E0,2.697892906E1,-4.282675225E1,3.060964769E0,5.070860703E1
1.904050083E0,2.882177731E1,-4.131270229E1,3.365849118E0,5.048527665E1
1.914017083E0,2.966008326E1,-3.911889013E1,3.724026160E0,4.923288002E1
1.923984083E0,3.042925641E1,-3.702550039E1,4.069970827E0,4.809773370E1
1.933951083E0,3.142215807E1,-3.580557474E1,3.919566407E0,4.779910251E1
1.943918083E0,3.078779364E1,-3.384366782E1,4.501971306E0,4.597336005E1
1.953885083E0,2.946318178E1,-3.242557536E1,5.277930737E0,4.412882925E1
1.963853083E0,2.803121036E1,-3.121458425E1,6.593144953E0,4.246844222E1
